,start,anyone,mrna,life,minister,effect,way,thank,pfizer,post,covidvaccines,today,people,number,time,ocgn,president,article,emergency,vaccination,russia,pfizercovidvaccine,sinopharm,everyone,dubai,site,year,world,reaction,thanks,day,moderna,death,arm,sinovac,doe,healthcare,injection,pfizervaccine,variant,question,home,biontech,supply,covidvaccine,report,iran,team,scientist,covidvaccination,borisjohnson,pfizerbiontech,amp,jab,fda,covaxin,country,dos,science,feel,group,china,morning,month,coronavirus,government,trial,canada,case,data,yesterday,oxfordastrazeneca,dose,efficacy,hour,shot,batch,news,use,delivery,vaccine,side,health,staff,hospital,study,state,week,approval,part,sputnikv,hope,oxford,worker,astrazeneca,work,get,end,care,india
efficacy,0.0,1.0,3.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,1.0,4.0,0.0,0.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,13.0,3.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,2.0,3.0,1.0,0.0,8.0,0.0,2.0,3.0,77.0,0.0,0.0,0.0,3.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,5.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0
hour,0.0,0.0,0.0,0.0,0.0,22.0,0.0,1.0,7.0,26.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,2.0,2.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,1.0,4.0,15.0,9.0,22.0,4.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,1.0,4.0,1.0,37.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,5.0,1.0,13.0,0.0,0.0,0.0,9.0,0.0,4.0,0.0,9.0,0.0,129.0,5.0,0.0,0.0,0.0,0.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
shot,1.0,1.0,1.0,0.0,1.0,6.0,1.0,4.0,17.0,5.0,0.0,16.0,13.0,3.0,6.0,0.0,3.0,0.0,1.0,5.0,0.0,1.0,2.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,10.0,29.0,2.0,8.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,45.0,4.0,1.0,0.0,6.0,0.0,6.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,1.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,5.0,185.0,1.0,2.0,1.0,2.0,63.0,1.0,5.0,1.0,1.0,4.0,2.0,11.0,3.0,0.0,0.0,1.0,0.0,4.0,1.0,6.0,2.0,4.0,1.0,2.0
batch,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,24.0,2.0,2.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,57.0,0.0,1.0,1.0,37.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
news,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,21.0,2.0,1.0,10.0,3.0,1.0,3.0,9.0,2.0,1.0,5.0,5.0,3.0,1.0,1.0,2.0,4.0,0.0,2.0,3.0,0.0,0.0,2.0,12.0,2.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,1.0,2.0,3.0,6.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,40.0,2.0,1.0,1.0,11.0,2.0,2.0,0.0,0.0,0.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,3.0,1.0,5.0,3.0,3.0,0.0,2.0,0.0,172.0,8.0,1.0,56.0,2.0,3.0,0.0,0.0,4.0,1.0,8.0,2.0,1.0,5.0,1.0,1.0,1.0,4.0,0.0,2.0,2.0,1.0,3.0
use,0.0,0.0,1.0,0.0,6.0,0.0,2.0,0.0,69.0,0.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,28.0,67.0,5.0,17.0,1.0,3.0,0.0,0.0,0.0,3.0,11.0,0.0,1.0,1.0,6.0,1.0,0.0,3.0,2.0,0.0,0.0,4.0,2.0,1.0,0.0,24.0,1.0,5.0,1.0,1.0,0.0,0.0,3.0,1.0,28.0,5.0,0.0,5.0,2.0,11.0,2.0,0.0,0.0,4.0,7.0,0.0,0.0,44.0,3.0,1.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,8.0,196.0,0.0,151.0,0.0,21.0,0.0,0.0,0.0,3.0,3.0,7.0,3.0,20.0,0.0,4.0,0.0,6.0,0.0,2.0,0.0,0.0,5.0
delivery,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,13.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,2.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,7.0,3.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,65.0,33.0,0.0,5.0,1.0,2.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
vaccine,26.0,31.0,32.0,22.0,32.0,70.0,22.0,44.0,627.0,33.0,27.0,220.0,157.0,26.0,43.0,13.0,31.0,46.0,72.0,96.0,101.0,27.0,70.0,24.0,50.0,24.0,43.0,59.0,44.0,50.0,134.0,190.0,39.0,37.0,36.0,29.0,34.0,22.0,87.0,54.0,37.0,20.0,157.0,27.0,123.0,26.0,34.0,21.0,27.0,15.0,10.0,1112.0,93.0,50.0,23.0,54.0,67.0,123.0,31.0,20.0,19.0,92.0,42.0,19.0,222.0,39.0,37.0,62.0,42.0,43.0,42.0,30.0,62.0,35.0,42.0,63.0,37.0,56.0,151.0,33.0,3898.0,47.0,104.0,31.0,25.0,53.0,26.0,91.0,37.0,27.0,125.0,25.0,30.0,42.0,84.0,66.0,53.0,18.0,20.0,35.0
side,0.0,2.0,1.0,0.0,0.0,112.0,1.0,1.0,19.0,5.0,2.0,5.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,8.0,13.0,2.0,11.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,0.0,10.0,0.0,14.0,2.0,0.0,0.0,0.0,4.0,0.0,39.0,5.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,4.0,0.0,14.0,1.0,0.0,2.0,0.0,0.0,47.0,128.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0
health,1.0,0.0,0.0,0.0,41.0,0.0,4.0,4.0,20.0,0.0,1.0,6.0,12.0,1.0,4.0,0.0,1.0,1.0,20.0,14.0,8.0,0.0,4.0,0.0,9.0,2.0,3.0,25.0,8.0,0.0,7.0,2.0,4.0,1.0,4.0,1.0,2.0,0.0,2.0,0.0,4.0,5.0,11.0,1.0,5.0,2.0,6.0,0.0,3.0,0.0,1.0,35.0,2.0,8.0,1.0,8.0,7.0,8.0,3.0,0.0,1.0,2.0,3.0,0.0,9.0,3.0,5.0,16.0,5.0,1.0,4.0,1.0,2.0,0.0,0.0,5.0,1.0,3.0,21.0,5.0,104.0,0.0,239.0,3.0,3.0,0.0,7.0,6.0,1.0,4.0,6.0,4.0,0.0,26.0,2.0,3.0,4.0,0.0,16.0,3.0
staff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,2.0,1.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,9.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,5.0,1.0,0.0,5.0,3.0,2.0,0.0,18.0,1.0,2.0,0.0,0.0,1.0,6.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,31.0,0.0,3.0,74.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0
hospital,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,7.0,0.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,16.0,0.0,2.0,0.0,3.0,1.0,5.0,2.0,0.0,0.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,25.0,0.0,3.0,6.0,61.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,0.0
study,0.0,4.0,1.0,1.0,0.0,5.0,0.0,1.0,17.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,3.0,0.0,2.0,20.0,1.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,11.0,2.0,1.0,2.0,0.0,1.0,0.0,4.0,1.0,5.0,0.0,4.0,0.0,4.0,0.0,0.0,53.0,2.0,0.0,0.0,0.0,86.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0,6.0,8.0,0.0,0.0,0.0,0.0
state,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,0.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,3.0,1.0,1.0,3.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,26.0,0.0,7.0,0.0,2.0,0.0,71.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0
week,7.0,4.0,0.0,2.0,0.0,3.0,1.0,2.0,12.0,2.0,0.0,7.0,13.0,3.0,9.0,3.0,0.0,0.0,1.0,17.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,10.0,18.0,2.0,4.0,0.0,3.0,1.0,1.0,5.0,0.0,0.0,5.0,5.0,0.0,12.0,1.0,1.0,3.0,1.0,3.0,5.0,57.0,4.0,10.0,0.0,4.0,3.0,22.0,2.0,3.0,4.0,1.0,1.0,3.0,4.0,3.0,5.0,11.0,4.0,4.0,3.0,0.0,12.0,1.0,1.0,11.0,1.0,8.0,3.0,4.0,91.0,1.0,6.0,5.0,4.0,0.0,1.0,232.0,0.0,0.0,3.0,2.0,0.0,3.0,2.0,2.0,4.0,6.0,4.0,1.0
approval,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,8.0,0.0,0.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,1.0,9.0,7.0,2.0,1.0,0.0,0.0,0.0,6.0,1.0,0.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,0.0,2.0,7.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,5.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,4.0
part,0.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,4.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,27.0,6.0,0.0,0.0,1.0,4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,1.0,27.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,80.0,0.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,1.0,0.0
sputnikv,10.0,0.0,0.0,0.0,11.0,3.0,3.0,0.0,4.0,1.0,0.0,4.0,3.0,2.0,3.0,0.0,6.0,1.0,2.0,25.0,90.0,0.0,5.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,2.0,10.0,6.0,1.0,5.0,1.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,3.0,5.0,3.0,17.0,2.0,1.0,0.0,1.0,13.0,6.0,7.0,0.0,0.0,8.0,1.0,0.0,1.0,1.0,3.0,2.0,2.0,22.0,4.0,11.0,6.0,9.0,3.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,5.0,20.0,0.0,125.0,2.0,6.0,0.0,0.0,1.0,0.0,3.0,5.0,0.0,251.0,4.0,5.0,0.0,14.0,1.0,1.0,2.0,0.0,1.0
hope,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,7.0,3.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,3.0,1.0,18.0,1.0,2.0,0.0,1.0,1.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,3.0,0.0,1.0,0.0,0.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,25.0,1.0,4.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,4.0,63.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0
oxford,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,15.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,30.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,5.0,0.0,65.0,0.0,17.0,1.0,0.0,1.0,0.0,1.0
worker,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,11.0,1.0,0.0,7.0,5.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,11.0,2.0,5.0,0.0,1.0,0.0,1.0,0.0,33.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0,5.0,0.0,0.0,2.0,5.0,1.0,0.0,16.0,3.0,3.0,0.0,7.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,42.0,0.0,26.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,106.0,1.0,3.0,3.0,0.0,7.0,2.0
astrazeneca,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.0,23.0,1.0,1.0,1.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,10.0,6.0,3.0,3.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,6.0,30.0,4.0,0.0,3.0,2.0,1.0,0.0,5.0,5.0,1.0,1.0,12.0,0.0,8.0,0.0,0.0,0.0,1.0,3.0,1.0,58.0,2.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,10.0,1.0,3.0,1.0,2.0,4.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,0.0,84.0,1.0,2.0,0.0,0.0,6.0,0.0,2.0,3.0,1.0,14.0,1.0,17.0,1.0,146.0,2.0,0.0,1.0,1.0,1.0
work,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,21.0,2.0,0.0,13.0,6.0,0.0,3.0,0.0,0.0,4.0,0.0,5.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,7.0,11.0,0.0,2.0,0.0,8.0,2.0,0.0,3.0,9.0,2.0,0.0,4.0,0.0,12.0,0.0,0.0,1.0,3.0,0.0,1.0,33.0,3.0,2.0,0.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,2.0,0.0,6.0,0.0,0.0,0.0,1.0,66.0,0.0,3.0,2.0,3.0,8.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,127.0,0.0,0.0,3.0,0.0
get,0.0,0.0,2.0,0.0,1.0,2.0,0.0,5.0,12.0,1.0,1.0,21.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,2.0,3.0,3.0,4.0,3.0,0.0,6.0,3.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,1.0,0.0,2.0,1.0,1.0,34.0,4.0,1.0,2.0,1.0,4.0,4.0,2.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,53.0,1.0,4.0,0.0,2.0,0.0,1.0,4.0,0.0,5.0,1.0,2.0,0.0,3.0,0.0,0.0,123.0,2.0,4.0,1.0
end,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,3.0,4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,2.0,3.0,0.0,2.0,2.0,5.0,2.0,2.0,0.0,1.0,0.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,0.0,1.0,18.0,2.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,63.0,0.0,0.0
care,1.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,17.0,2.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,1.0,12.0,5.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,20.0,0.0,16.0,5.0,2.0,0.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,7.0,1.0,3.0,4.0,0.0,62.0,0.0
india,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,17.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,13.0,5.0,0.0,2.0,24.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,5.0,0.0,35.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,79.0
